Color,Size ,Act,Age,Inflated
Yellow,Small,Stretch,Adult,T
Yellow,Small,Stretch,Adult,T
Yellow,Small,Stretch,Child,F
Yellow,Small,Dip,Adult,F
Yellow,Small,Dip,Child,F
Yellow,Large,Stretch,Adult,T
Yellow,Large,Stretch,Adult,T
Yellow,Large,Stretch,Child,F
Yellow,Large,Dip,Adult,F
Yellow,Large,Dip,Child,F
Purple,Small,Stretch,Adult,T
Purple,Small,Stretch,Adult,T
Purple,Small,Stretch,Child,F
Purple,Small,Dip,Adult,F
Purple,Small,Dip,Child,F
Purple,Large,Stretch,Adult,T
Purple,Large,Stretch,Adult,T
Purple,Large,Stretch,Child,F
Purple,Large,Dip,Adult,F
Purple,Large,Dip,Child,F
